Ref #,Modality,Project Name,Entity,Countries,BM,Sector,Theme,Project Size,ESS Category,FA Financing
FP001,PAP,"Building the Resilience of Wetlands in the Province of Datem del Marañón, Peru",Profonanpe,Peru,B.11,Public,Cross-cutting,Micro,Category C,6240000
FP002,PAP,Scaling up the use of Modernized Climate information and Early Warning Systems in Malawi,UNDP,Malawi,B.11,Public,Adaptation,Small,Category C,12294545
FP003,PAP,"Increasing the resilience of ecosystems and communities through
the restoration of the productive bases of salinized lands",CSE,Senegal,B.11,Public,Adaptation,Micro,Category C,7610000
FP004,PAP,Climate Resilient Infrastructure Mainstreaming (CRIM),KfW,Bangladesh,B.11,Public,Adaptation,Medium,Category B,40000000
FP005,PAP,KawiSafi Ventures Fund,Acumen,"Kenya, Rwanda",B.11,Private,Cross-cutting,Micro,Intermediation 3,25000000
FP007,PAP,Supporting vulnerable communities in Maldives to manage climate change-induced water shortages,UNDP,Maldives,B.11,Public,Adaptation,Small,Category B,23636364
FP008,PAP,Fiji Urban Water Supply and Wastewater Management Project,ADB,Fiji,B.11,Public,Adaptation,Large,Category B,31040000
FP009,PAP,Energy Savings Insurance (ESI) for private energy efficiency investments by Small and Medium-Sized Enterprises (SMEs),IDB,El Salvador,B.13,Public,Mitigation,Small,Category C,21700000
FP010,PAP,De-Risking and Scaling-up Investment in Energy Efficient Building Retrofits,UNDP,Armenia,B.13,Public,Mitigation,Medium,Category B,20000000
FP011,PAP,"Large-scale Ecosystem-based Adaptation in The Gambia: developing a climate-resilient, natural resource-based economy",UNEP,Gambia,B.13,Public,Adaptation,Small,Category C,20546756
FP012,PAP,Africa Hydromet Program – Strengthening Climate Resilience in Sub-Saharan Africa: Mali Country Project,WorldBank,Mali,B.13,Public,Adaptation,Small,Category B,22750000
FP013,PAP,Improving the resilience of vulnerable coastal communities to climate change related impacts in Viet Nam,UNDP,Viet Nam,B.13,Public,Cross-cutting,Small,Category B,29523000
FP014,PAP,Climate Adaptation and Mitigation Program For the Aral Sea Basin (CAMP4ASB),WorldBank,"Tajikistan, Uzbekistan",B.13,Public,Adaptation,Medium,Category B,19000000
FP015,PAP,Tuvalu Coastal Adaptation Project (TCAP),UNDP,Tuvalu,B.13,Public,Adaptation,Small,Category B,36010000
FP016,PAP,Strengthening the resilience of smallholder farmers in the Dry Zone to climate variability and extreme events through an integrated approach to water management,UNDP,Sri Lanka,B.13,Public,Adaptation,Medium,Category B,38084000
FP017,PAP,Climate action and solar energy development programme in the Tarapacá Region in Chile,CAF,Chile,B.13,Private,Mitigation,Medium,Category B,39000000
FP018,PAP,Scaling-up of Glacial Lake Outburst Flood (GLOF) risk reduction in Northern Pakistan,UNDP,Pakistan,B.14,Public,Adaptation,Small,Category B,36960000
FP019,PAP,Priming Financial and Land Use Planning Instruments to Reduce Emissions from Deforestations,UNDP,Ecuador,B.14,Public,Mitigation,Medium,Category B,41172739
FP020,PAP,Sustainable Energy Facility for the Eastern Caribbean,IDB,"Dominica, Grenada, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines",B.14,Public,Mitigation,Medium,Category A,80000000
FP021,PAP,Senegal Integrated Urban Flood Management Project,AFD,Senegal,B.14,Public,Adaptation,Medium,Category A,15306122.45
FP022,PAP,Development of arganiculture orchards in degraded environment (DARED),ADA_Morocco,Morocco,B.14,Public,Cross-cutting,Small,Category B,39292600
FP023,PAP,Climate Resilient Agriculture in three of the Vulnerable Extreme northern crop growing regions (CRAVE),EIF,Namibia,B.14,Public,Adaptation,Micro,Category C,9500000
FP024,PAP,Enpower to Adapt: Creating Climate-Change Resilient Livelihoods through  Community-Based Natural Resource Management (CBNRM) in Namibia,EIF,Namibia,B.14,Public,Adaptation,Micro,Category C,10000000
FP025,PAP,GCF-EBRD SEFF Co-financing Programme,EBRD,"Armenia, Egypt, Georgia, Jordan, Moldova, Mongolia, Morocco, Serbia, Tajikistan, Tunisia",B.14,Private,Cross-cutting,Large,Intermediation 2,378000000
FP026,PAP,Sustainable Landscapes in Eastern Madagascar,CI,Madagascar,B.14,Private,Cross-cutting,Medium,Category B,18500000
FP027,PAP,Universal Green Energy Access Programme (UGEAP),DeutscheBank,"Benin, Ethiopia, Kenya, Namibia, Nigeria, Tanzania, Uganda",B.14,Private,Mitigation,Large,Intermediation 2,80000000
