Entity,Name,Country,DAE,Type,Stage,BM,Size,Sector,# Approved,FA Financing
AIIB,Asian Infrastructure Investment Bank,China,FALSE,International,Accredited,B.40,Large,Public,0,0
AFD,Agence Française de Developpement,France,FALSE,International,Accredited,B.10,Large,Public,8,751076982.9
Meridiam,Meridiam SAS,France,FALSE,International,Accredited,B.39,Large,Private,0,0
FAO,Food and Agriculture Organization of the United Nations,Italy,FALSE,International,Accredited,B.14,Medium,Public,23,774239437
IFAD,International Fund for Agricultural Development,Italy,FALSE,International,Accredited,B.14,Large,Public,11,540325391.6
MUFG_Bank,"MUFG Bank, Ltd",Japan,FALSE,International,Accredited,B.17,Large,Private,3,218000000
SMBC,Sumitomo Mitsui Banking Corporation,Japan,FALSE,International,Accredited,B.29,Large,Private,0,0
SK Securities,"SK Securities, Co., Ltd.",Republic of Korea (the),FALSE,International,Accredited,B.37,Medium,Private,0,0
IsDB,Islamic Development Bank,Saudi Arabia,FALSE,International,Accredited,B.39,Large,Public,0,0
responsAbility,responsAbility Investments AG,Switzerland,FALSE,International,Accredited,B.36,Large,Private,0,0
Terra Global,"Terra Global Capital, LLC",United States,FALSE,International,Accredited,B.38,Small,Private,0,0
UNICEF,United Nations Children's Fund,United States,FALSE,International,Accredited,B.40,Medium,Public,0,0
HSBC,HSBC Holdings plc and its subsidiaries,United Kingdom,FALSE,International,AMA 1st Draft Sent,B.12,Large,Private,0,0
MAAML,Macquarie Alternative Assets Management Limited,Australia,FALSE,International,Effectiveness,B.22,Large,Private,1,200000000
SCA,Save the Children Australia,Australia,FALSE,International,Effectiveness,B.24,Small,Public,6,157626076
ADA_Austria,Austrian Development Agency,Austria,FALSE,International,Effectiveness,B.21,Small,Public,0,0
UNIDO,United Nations Industrial Development Organization,Austria,FALSE,International,Effectiveness,B.26,Small,Public,0,0
Enabel,Enabel (formerly Belgian Technical Cooperation - Cooperation Technique Belge),Belgium,FALSE,International,Effectiveness,B.23,Small,Public,0,0
AfDB,African Development Bank,Cote d'Ivoire,FALSE,International,Effectiveness,B.12,Large,Public,12,829164752.1
NEFCO,Nordic Environment Finance Corporation,Finland,FALSE,International,Effectiveness,B.21,Small,Private,1,9900000
BNP_Paribas,BNP Paribas S.A.,France,FALSE,International,Effectiveness,B.21,Large,Private,0,0
CACIB,Crédit Agricole Corporate and Investment Bank,France,FALSE,International,Effectiveness,B.12,Large,Private,0,0
CGIAR,CGIAR System Organization,France,FALSE,International,Effectiveness,B.21,Small,Public,0,0
PROPARCO,"Société de Promotion et de Participation pour la Coopération Economique, SA",France,FALSE,International,Effectiveness,B.15,Large,Public,0,0
DeutscheBank,Deutsche Bank AktienGesellschaft AG,Germany,FALSE,International,Effectiveness,B.10,Large,Private,1,80000000
GIZ,Deutsche Gesellschaft fuer Internationale Zusammenarbeit (GIZ) GmbH,Germany,FALSE,International,Effectiveness,B.14,Medium,Public,11,357067768.7
CDP,Cassa depositi e Prestiti S.p.A.,Italy,FALSE,International,Effectiveness,B.24,Large,Public,0,0
WFP,World Food Programme,Italy,FALSE,International,Effectiveness,B.12,Medium,Public,7,63354359
ITTO,International Tropical Timber Organization,Japan,FALSE,International,Effectiveness,B.38,Micro,Public,0,0
JICA,Japan International Cooperation Agency,Japan,FALSE,International,Effectiveness,,Large,Public,2,35074102
UNEP,United Nations Environment Programme,Kenya,FALSE,International,Effectiveness,B.10,Medium,Public,10,249157393.6
EIB,European Investment Bank,Luxembourg,FALSE,International,Effectiveness,B.12,Large,Public,0,0
LuxDev,"Agence luxembourgeoise pour la Coopération au Développement (Lux-Development S.A.) (known as ""Luxembourg Development Cooperation Agency"")",Luxembourg,FALSE,International,Effectiveness,B.22,Micro,Public,1,8650000
FMO,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden,Netherlands (the),FALSE,International,Effectiveness,B.14,Large,Public,4,571350000
AFC,Africa Finance Corporation,Nigeria,FALSE,International,Effectiveness,B.10,Large,Private,1,253755000
ADB,Asian Development Bank,Philippines (the),FALSE,International,Effectiveness,B.09,Large,Public,14,1237401020
COFIDES,Compañia Española de Financiación del Desarrollo,Spain,FALSE,International,Effectiveness,B.20,Medium,Public,1,34166666.67
IUCN,International Union for Conservation of Nature,Switzerland,FALSE,International,Effectiveness,B.12,Medium,Public,6,164650488
CAMCO,Camco Management Limited,United Kingdom,FALSE,International,Effectiveness,B.27,Medium,Private,1,50000000
EBRD,European Bank for Reconstruction and Development,United Kingdom,FALSE,International,Effectiveness,B.10,Large,Public,8,1274657083
Acumen,"Acumen Fund, Inc.",United States,FALSE,International,Effectiveness,B.09,Medium,Private,7,260500000
CI,Conservation International Foundation,United States,FALSE,International,Effectiveness,B.10,Medium,Public,3,91664785
IDB,Inter-American Development Bank,United States,FALSE,International,Effectiveness,B.10,Large,Public,9,831700000
IDB_Invest,IDB Invest,United States,FALSE,International,Effectiveness,B.21,Large,Public,1,118975948
PCA,Pegasus Capital Advisors,United States,FALSE,International,Effectiveness,B.21,Large,Private,4,390500000
TNC,The Nature Conservancy,United States,FALSE,International,Effectiveness,B.35,Medium,Public,0,0
UNDP,United Nations Development Programme,United States,FALSE,International,Effectiveness,B.09,Medium,Public,39,1224636139
WorldBank,International Bank for Reconstruction and Development and International Development Association,United States,FALSE,International,Effectiveness,B.10,Large,Public,12,1143787592
WWF,"World Wildlife Fund, Inc.",United States,FALSE,International,Effectiveness,B.15,Medium,Public,3,135531918
IFC,International Finance Corporation,United States,FALSE,International,Execution,B.12,Large,Public,2,299000000
KfW,Kreditanstalt für Wiederaufbau,Germany,FALSE,International,Former AE,B.09,Large,Public,3,178229166.7
WMO,World Meteorological Organization,Switzerland,FALSE,International,Former AE,B.12,Small,Public,0,0
BDP-S.A.M.,Banco de Desarrollo Productivo - Sociedad Anónima Mixta,Bolivia (Plurinational State of),TRUE,National,Accredited,B.40,Medium,Public,0,0
YesBank,Yes Bank Limited (India),India,TRUE,National,Accredited,B.24,Medium,Private,0,0
CVDB,Cities and Villages Development Bank (Jordan),Jordan,TRUE,National,Accredited,B.38,Medium,Public,0,0
BNDA,Banque Nationale de Développement Agricole,Mali,TRUE,National,Accredited,B.40,Small,Private,0,0
IOC,Indian Ocean Commission,Mauritius,TRUE,Regional,Accredited,B.39,Small,Public,0,0
BANOBRAS,"Banco Nacional de Obras y Servicios Publicos, S.N.C",Mexico,TRUE,National,Accredited,B.38,Medium,Public,0,0
MCT,Micronesia Conservation Trust,Micronesia (Federated States of),TRUE,Regional,Accredited,B.17,Micro,Public,2,17479625
CAF,Corporación Andina de Fomento,Venezuela (Bolivarian Republic of),TRUE,Regional,Accredited,B.10,Large,Public,5,354170929
CEF,Caixa Economica Federal,Brazil,TRUE,National,AMA 1st Draft Sent,B.21,Large,Public,0,0
IDFCBank,IDFC Bank Ltd (India),India,TRUE,National,AMA 1st Draft Sent,B.21,Medium,Private,0,0
DOE_ATG,"Department of Environment, Ministry of Health and Environment, Government of Antigua and Barbuda",Antigua and Barbuda,TRUE,National,Effectiveness,B.18,"Medium, Small",Public,2,52706595
EPIU,"Environmental Project Implementation Unit, State Agency of the Ministry of Environment, Armenia",Armenia,TRUE,National,Effectiveness,B.22,Micro,Public,0,0
IDCOL,Infrastructure Development Company Limited (Bangladesh),Bangladesh,TRUE,National,Effectiveness,B.17,Medium,Public,1,256480000
PKSF,Palli Karma-Sahayak Foundation (Bangladesh),Bangladesh,TRUE,National,Effectiveness,B.18,Medium,Public,3,76840530
