Ref #,Activity,Project Title,Country,Delivery Partner,Region,SIDS,LDCs,NAP,Status,Approved Date,Financing
AFG-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",Strengthening NEPA through GCF Readiness and Preparatory Support Programme,Afghanistan,FAO,AP,FALSE,TRUE,FALSE,Closed,"Dec 30, 2018",300000
AFG-RS-002,"NDA Strengthening, including country programming (SP, NDA, CP)",Further Strengthening Country Capacity for Engagement with GCF and Direct Access to Climate Finance: (GCF Readiness II),Afghanistan,FAO,AP,FALSE,TRUE,FALSE,Closed,"Dec 18, 2019",999987
AFG-RS-003,,Resilient Recovery Rapid Readiness Support in Afghanistan,Afghanistan,FAO,AP,FALSE,TRUE,FALSE,Closed,"Jan 28, 2021",300000
AFR-RS-001,Strategic Framework (SF),Supporting the Creation of “REDD+ Catalytic Fund”,"Democratic Republic of the Congo (the), Equatorial Guinea, Central African Republic (the), Chad, Burundi, Congo",COMIFAC_CMR,AF,FALSE,TRUE,FALSE,Disbursed,"Nov 20, 2020",499970
AFR-RS-002,Strategic Framework (SF),Accelerating the financing and implementation of low-carbon & climate-resilient priorities in African Countries,"Chad, Djibouti, Kenya, Sierra Leone, Liberia, Zambia, Gabon, Eswatini, Comoros (the), South Sudan, Sudan, Democratic Republic of the Congo (the), Benin, Central African Republic (the), Madagascar, Mali, Nigeria, Seychelles, Togo, Niger (the), Equatorial Guinea, Angola, Guinea",EY_DEU,AF,FALSE,TRUE,FALSE,Disbursed,"Jan 29, 2021",6863383
AFR-RS-003,,"Formulate Regional Traditional Savanna Fire Management Emissions Reductions Project Concept Note for Botswana, Mozambique, Zambia.","Zambia, Botswana, Mozambique",ISFMI_AUS,AF,FALSE,TRUE,FALSE,Disbursed,"Feb 26, 2022",1199484
AFR-RS-004,,Strengthening ECOWAS institutional capacities and Member States access to climate finance to support the implementation of the agriculture sectoral priorities of the ECOWAS Regional Climate Strategy,"Togo, Sierra Leone, Cote d'Ivoire, Nigeria, Benin, Senegal, Burkina Faso, Gambia, Guinea, Guinea-Bissau, Mali",RFAA_TGO,AF,FALSE,TRUE,FALSE,Disbursed,"Mar 28, 2023",1451030
AFR-RS-005,,Institutional and technical support for REDD readiness in West Africa,"Guinea, Benin, Sierra Leone, Guinea-Bissau, Gambia",FAO,AF,FALSE,TRUE,FALSE,Disbursed,"Mar 28, 2023",3279997
AFR-RS-006,,Building the institutional capacity of sub-national governments to support the implementation of strong climate change agenda in West Africa Economic  Monetary Union WAEMU member countries,"Cote d'Ivoire, Senegal, Togo, Burkina Faso, Benin, Mali, Guinea-Bissau",UCLG Africa,AF,FALSE,TRUE,FALSE,Disbursed,"Mar 29, 2023",1735000
AFR-RS-007,Strategic Framework (SF),GCF workshops for investment planning and pipeline development in Madagascar and Djibouti,"Djibouti, Madagascar",FAO,AF,FALSE,TRUE,FALSE,Disbursed,"Aug 2, 2023",27834.59
AFR-RS-008,"NDA Strengthening, including country programming (SP, NDA, CP)",Readiness Support for the Africa Union Multi-Country Program to Accelerate Readiness for Water and Climate Resilience Investments with GWPO,"Somalia, Guinea, Burundi, Ghana, Mali, Mozambique, Tunisia, Sierra Leone, Central African Republic (the), Malawi, Eswatini, Congo, Morocco, Chad, Zambia",GWAPSA_NPC_ZAF,AF,FALSE,FALSE,FALSE,Disbursed,"Feb 16, 2024",6164053
AFR-RS-009,"NDA Strengthening, including country programming (SP, NDA, CP)",Strengthening strategic Frameworks and Processes to Facilitate Access to Climate Finance in Madagascar and Djibouti,"Madagascar, Djibouti",FAO,AF,FALSE,TRUE,FALSE,Disbursed,"Mar 25, 2024",1669476
AFR-RS-010,"NDA Strengthening, including country programming (SP, NDA, CP)",Parliamentarians for Climate Finance,"Kenya, Uganda, Tanzania, Botswana, Cote d'Ivoire, Senegal, Sierra Leone, Seychelles, Nigeria, Ghana, Guinea, Rwanda, Djibouti, Zimbabwe, Zambia",UNIDO,AF,FALSE,FALSE,FALSE,Disbursed,"Mar 28, 2024",6960000
AFR-RS-011,"NDA Strengthening, including country programming (SP, NDA, CP)",Strengthening the institutional capacities of the African Island States Climate Commission AISCC member states to manage climate risks and bolster resilience,"Comoros (the), Guinea-Bissau, Sao Tome and Principe, Seychelles, Tanzania, Equatorial Guinea, Cabo Verde, Mauritius, Madagascar",UNECA,AF,TRUE,FALSE,FALSE,In Legal Processing,"Mar 30, 2024",4943086
AGO-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",Strengthening the NDA and Key Stakeholders in Angola on GCF Mechanisms,Angola,GGGI,AF,FALSE,TRUE,FALSE,Disbursed,"Aug 10, 2023",615650
AGO-RS-002,,Strengthening Institutional Information Services to support decision-making for Climate Change in the AFOLU sector in Angola,Angola,FAO,AF,FALSE,TRUE,FALSE,Disbursed,"Dec 15, 2020",700000
AGO-RS-003,"NDA Strengthening, including country programming (SP, NDA, CP)",Enhancing Angola Access to Climate Change Finance on Sustainable Transport and Sustainable Landscape Sectors,Angola,GGGI,AF,FALSE,TRUE,FALSE,Legal Agreement Effective,"Mar 26, 2024",993966
ALB-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Albania,UNEP,EE,FALSE,FALSE,FALSE,Closed,"Sep 21, 2016",300000
ALB-RS-002,Adaptation Planning,Advancing Albania’s planning for medium and long-term adaptation through the development of a National Adaptation Planning (NAP) process,Albania,UNDP,EE,FALSE,FALSE,TRUE,Disbursed,"Oct 24, 2019",2997907
ALB-RS-003,,Enhancement of the existing NDC,Albania,URI,EE,FALSE,FALSE,FALSE,Closed,"Sep 3, 2020",257162
ALB-RS-004,,NDA strengthening and entity support for Albania,Albania,GIZ,EE,FALSE,FALSE,FALSE,Legal Agreement Effective,"Feb 25, 2022",536285
ALB-RS-005,,"Climate Change Measurement, Reporting and Verification System of Albania: Emissions and Mitigation",Albania,URI,EE,FALSE,FALSE,FALSE,Disbursed,"Jul 15, 2022",349476
ALB-RS-006,Strategic Framework (SF),Policy and investment planning in FOLU in Albania to support the utilization of the climate change mitigation and sustainable development potential of the sector,Albania,URI,EE,FALSE,FALSE,FALSE,Disbursed,"Nov 28, 2023",999789
APA-RS-001,,Leveraging the Private Sector for Increased Climate Investment and Strengthened Partnerships in the West Asia Region,"Lebanon, Iraq, Jordan, State of Palestine, Oman",IsDB,AP,FALSE,FALSE,FALSE,Disbursed,"Dec 29, 2021",2625412
APA-RS-002,,Building Capacity of regional direct access entity to foster climate action in the Pacific,"Palau, Vanuatu, Micronesia (Federated States of), Tonga",SPC,AP,TRUE,FALSE,FALSE,Disbursed,"Dec 30, 2021",1866483
APA-RS-003,,Agriculture Sector Readiness for enhanced climate finance and implementation of Koronivia Joint Work on Agriculture priorities in Southeast Asia,"Viet Nam, Cambodia, Thailand, Malaysia, Philippines (the), Lao People's Democratic Republic (the)",FAO,AP,FALSE,FALSE,FALSE,Disbursed,"Aug 18, 2022",2700000
APA-RS-004,,Supporting Regional Direct Access Entities to increase Pacific SIDS access to climate financing,"Solomon Islands, Micronesia (Federated States of)",SPREP,AP,TRUE,TRUE,FALSE,Disbursed,"Aug 4, 2022",1409470
APA-RS-005,,Readiness support for building community resilience through application of traditional and local knowledge TLK system,"Pakistan, Nepal",IGES_JPN,AP,FALSE,FALSE,FALSE,Disbursed,"Mar 1, 2023",761955
ARG-RS-001,Support for direct access entities (ES),Readiness and Preparatory Support Proposal for the capacity building and pipeline development of the Unit of Rural Change of Argentina,Argentina,UCAR,LAC,FALSE,FALSE,FALSE,Cancelled,"Sep 21, 2017",274800
ARG-RS-002,Strategic Framework (SF),Strengthening climate finance and NDC implementation by developing mitigation proposals through participatory federal process,Argentina,FundacionAvina,LAC,FALSE,FALSE,FALSE,Closed,"Dec 22, 2017",431226
ARG-RS-003,Adaptation Planning,Readiness for the National Adaptation Plan Process,Argentina,UNDP,LAC,FALSE,FALSE,TRUE,Disbursed,"Dec 4, 2018",2999964
ARG-RS-004,,Strengthening of Argentinas NDA and development of a National Country Programme,Argentina,FAO,LAC,FALSE,FALSE,FALSE,Disbursed,"Nov 13, 2020",348750
ARG-RS-005,,Increasing health sectors capacities and strengthening coordination on climate action in Argentina at national and subnational levels,Argentina,WHO,LAC,FALSE,FALSE,FALSE,Disbursed,"Dec 29, 2020",299839
ARG-RS-006,,"Innovation for climate resilience of Patagonian grasslands of Argentina: minimizing climate vulnerability of rural inhabitants, increasing capacities for range and soil regeneration, and conserving biodiversity",Argentina,CAF,LAC,FALSE,FALSE,FALSE,Disbursed,"Apr 20, 2022",399901
ARG-RS-007,,Climate adaptation of regional economies in Argentina: promoting the holistic management of agroecosystems,Argentina,CAF,LAC,FALSE,FALSE,FALSE,Disbursed,"Mar 24, 2024",743660
ARM-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)","Establishing and Strengthening National Designated Authorities (NDAs) and Strategic frameworks for engagement with the Fund, including the preparation of country programmes",Armenia,EPIU,EE,FALSE,FALSE,FALSE,Closed,"Dec 8, 2017",300000
ARM-RS-002,Adaptation Planning,National Adaptation Plan (NAP) to advance medium and long-term adaptation planning in Armenia,Armenia,UNDP,EE,FALSE,FALSE,TRUE,Disbursed,"Jun 4, 2018",2999593
ARM-RS-003,Strategic Framework (SF),Scaling up Green Finance practices in the Republic of Armenia,Armenia,ARMSWISSBANK_ARM,EE,FALSE,FALSE,FALSE,Closed,"Jan 10, 2020",661864
ARM-RS-004,Support for direct access entities (ES),"Readiness Support for accreditation gap assessment, capacity building and pipeline development for potential accredited entity",Armenia,R2E2_ARM,EE,FALSE,FALSE,FALSE,Closed,"Sep 9, 2020",254007
ARM-RS-005,Strategic Framework (SF),Advancing programming and partnership framework with GCF and matching with countrys long-term low-carbon development strategies,Armenia,EPIU,EE,FALSE,FALSE,FALSE,Disbursed,"Dec 22, 2022",197031
ARM-RS-006,Strategic Framework (SF),Introducing comprehensive e-waste system to enable environment for solar energy and electric mobility markets development,Armenia,INIF,EE,FALSE,FALSE,FALSE,In Legal Processing,"Sep 6, 2023",648581
ATG-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Antigua and Barbuda,DOE_ATG,LAC,TRUE,FALSE,FALSE,Closed,"Aug 7, 2015",300000
ATG-RS-002,Support for direct access entities (ES),Realizing direct access climate financing in Antigua and Barbuda and the Eastern Caribbean,Antigua and Barbuda,DOE_ATG,LAC,TRUE,FALSE,FALSE,Closed,"Apr 13, 2017",620250
ATG-RS-003,Adaptation Planning,Adaptation Planning,Antigua and Barbuda,DOE_ATG,LAC,TRUE,FALSE,TRUE,Disbursed,"Nov 1, 2017",3000000
ATG-RS-004,Support for direct access entities (ES),Accelerating transformational adaptation and mitigation Direct Access projects in Antigua & Barbuda,Antigua and Barbuda,DOE_ATG,LAC,TRUE,FALSE,FALSE,Closed,"Dec 23, 2018",931000
ATG-RS-005,,Multi-year strategic Readiness for Antigua and Barbuda: Supporting Antigua and Barbudas NDCs implementation towards a transformation to Climate Resilient and Low-Emission Development Pathway 2021-2023,Antigua and Barbuda,DOE_ATG,LAC,TRUE,FALSE,FALSE,Disbursed,"Oct 25, 2021",2836551
AZE-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",Green Climate Fund Readiness and Preparatory Support Project for Azerbaijan,Azerbaijan,UNDP,EE,FALSE,FALSE,FALSE,Closed,"Dec 13, 2017",300000
AZE-RS-002,"NDA Strengthening, including country programming (SP, NDA, CP)",Strengthening country capacities for NDC implementation in the Agriculture and LULUCF Sectors in Azerbaijan,Azerbaijan,FAO,EE,FALSE,FALSE,FALSE,Closed,"Apr 24, 2019",499654
AZE-RS-003,Adaptation Planning,National Adaptation Plan (NAP) Support Project for adaptation planning and imple-mentation in Azerbaijan,Azerbaijan,UNDP,EE,FALSE,FALSE,TRUE,Disbursed,"Dec 2, 2019",3000000
AZE-RS-004,,Gap assessment and action plan for the International Bank of Azerbaijan to meet the GCF requirements,Azerbaijan,EYSwitzerland,EE,FALSE,FALSE,FALSE,Cancelled,"Jan 28, 2022",41906
BDI-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",GCF Readiness and Preparatory Support- Burundi,Burundi,UNDP,AF,FALSE,TRUE,FALSE,Closed,"Oct 11, 2017",478000
BDI-RS-002,,"Building the capacities of key Sustainable Land Management stakeholders to mainstream climate change in Burundi, and updating the Country Programme",Burundi,FAO,AF,FALSE,TRUE,FALSE,Disbursed,"Feb 26, 2022",299999
